Level,Hierarchical structure,Code,Parent,Class title,Class definition
4,Subclass (Field),RDF5060203,RDF50602,Arts and cultural policy,This subclass comprises research and experimental development in arts and cultural policy.
4,Subclass (Field),RDF5060204,RDF50602,Communication and media policy,This subclass comprises research and experimental development in communication and media policy.
4,Subclass (Field),RDF5060205,RDF50602,Crime policy,This subclass comprises research and experimental development in crime policy.
4,Subclass (Field),RDF5060206,RDF50602,Public security policy,This subclass comprises research and experimental development in public security policy.
4,Subclass (Field),RDF5060207,RDF50602,Cybersecurity policy,This subclass comprises research and experimental development in cybersecurity policy.
4,Subclass (Field),RDF5060208,RDF50602,Economic development policy,This subclass comprises research and experimental development in economic development policy.
4,Subclass (Field),RDF5060209,RDF50602,International cooperation and development policies,This subclass comprises research and experimental development in international cooperation and development policies.
4,Subclass (Field),RDF5060210,RDF50602,Ecological policy,This subclass comprises research and experimental development in ecological policy.
4,Subclass (Field),RDF5060211,RDF50602,Educational policy,This subclass comprises research and experimental development in educational policy.
4,Subclass (Field),RDF5060212,RDF50602,Environmental policy,This subclass comprises research and experimental development in environmental policy.
4,Subclass (Field),RDF5060213,RDF50602,Health policy,This subclass comprises research and experimental development in health policy.
4,Subclass (Field),RDF5060214,RDF50602,Public administration,This subclass comprises research and experimental development in public administration.
4,Subclass (Field),RDF5060215,RDF50602,Public policy,This subclass comprises research and experimental development in public policy.
4,Subclass (Field),RDF5060216,RDF50602,"Research, science and technology policy","This subclass comprises research and experimental development in research, science and technology policy."
4,Subclass (Field),RDF5060217,RDF50602,Social policy,This subclass comprises research and experimental development in social policy.
4,Subclass (Field),RDF5060218,RDF50602,Tourism policy,This subclass comprises research and experimental development in tourism policy.
4,Subclass (Field),RDF5060219,RDF50602,Urban policy,This subclass comprises research and experimental development in urban policy.
4,Subclass (Field),RDF5060220,RDF50602,Employment policy,This subclass comprises research and experimental development in employment policy.
4,Subclass (Field),RDF5060299,RDF50602,"Policy and policy administration, n.e.c.","This subclass comprises research and experimental development in policy and policy administration, n.e.c."
2,Group,RDF507,RDF50,Social and economic geography,This group comprises research and experimental development in social and economic geography.
3,Class,RDF50701,RDF507,Human geography,This class comprises research and experimental development in human geography.
4,Subclass (Field),RDF5070101,RDF50701,Economic geography,This subclass comprises research and experimental development in economic geography.
4,Subclass (Field),RDF5070102,RDF50701,Development geography,This subclass comprises research and experimental development in development geography.
4,Subclass (Field),RDF5070103,RDF50701,"Recreation, leisure and tourism geography","This subclass comprises research and experimental development in recreation, leisure and tourism geography."
4,Subclass (Field),RDF5070104,RDF50701,Social and cultural geography,This subclass comprises research and experimental development in social and cultural geography.
4,Subclass (Field),RDF5070105,RDF50701,Population geography,This subclass comprises research and experimental development in population geography.
4,Subclass (Field),RDF5070106,RDF50701,Health geography,This subclass comprises research and experimental development in health geography.
4,Subclass (Field),RDF5070107,RDF50701,Political geography,This subclass comprises research and experimental development in political geography.
