Journal title,Journal ISSN (print version),Journal EISSN (online version),Deposit policy directory,URL for deposit policy
RadaR,,2825-9696,Mir@bel,https://reseau-mirabel.info/revue/titre-id/16927
ABE Journal : European architecture beyond Europe,,2275-6639,Mir@bel,https://reseau-mirabel.info/revue/titre-id/3695
Cahiers du genre,1298-6046,1968-3928,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1253
Catalonia,,1760-6659,Mir@bel,https://reseau-mirabel.info/revue/titre-id/17600
Iberic@l,,2260-2534,Mir@bel,https://reseau-mirabel.info/revue/titre-id/17682
Amplitude du droit,,2826-1305,Mir@bel,https://reseau-mirabel.info/revue/titre-id/17685
Pensée d'Ailleurs,,2826-9497,Mir@bel,https://reseau-mirabel.info/revue/titre-id/17720
À tradire. Didactique de la traduction pragmatique et de la communication technique,,2968-3912,Mir@bel,https://reseau-mirabel.info/revue/titre-id/19603
Carnets de Poédiles,,2970-3174,Mir@bel,https://reseau-mirabel.info/revue/titre-id/19924
Cahiers François Viète,1297-9112,2780-9986,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5135
Projectics / Proyéctica / Projectique,2031-9703,2032-0043,Mir@bel,https://reseau-mirabel.info/revue/titre-id/787
