"Please go to the Journal URL, find out when the journal started publishing under an OA model, and add the date in column H.",,,,,,,,,
Journal title,Journal URL,eISSN,URL in DOAJ,pISSN,Publisher,Country,OA Start,Man. Ed,
Intermaths,https://periodicos2.uesb.br/index.php/intermaths/,2675-8318,https://doaj.org/toc/69c3c40a1fa3455a8d2ff6c3e8c55b1b,,Universidade Estadual do Sudoeste da Bahia (UESB),Brazil,2020,Alejandra,
Cadernos de Campo,https://periodicos.fclar.unesp.br/cadernos/index,2359-2419,https://doaj.org/toc/b5b311d553394b59bc939acad1888d99,1415-0689,Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP),Brazil,1999,Alejandra,
Revista Baiana de Enfermagem,https://periodicos.ufba.br/index.php/enfermagem/index,2178-8650,https://doaj.org/toc/2ee387233167411aa66b8a50b7eb2874,0102-5430,Universidade Federal da Bahia,Brazil,2012,Alejandra,
Revista Direito e Sexualidade,https://periodicos.ufba.br/index.php/revdirsex/index,2675-3596,https://doaj.org/toc/3f193926223e4f5188f24fbbc5729a6b,,Universidade Federal da Bahia,Brazil,2020,Alejandra,
Afro-Ásia,https://periodicos.ufba.br/index.php/afroasia/index,1981-1411,https://doaj.org/toc/81fc185224344c659e6d318a2a17f777,0002-0591,Universidade Federal da Bahia - Centro de Estudos Afro-Orientais,Brazil,2009,Alejandra,
HU Revista,https://periodicos.ufjf.br/index.php/hurevista/index,1982-8047,https://doaj.org/toc/5fb212cdb46e41cdb3234b32cffce286,0103-3123,Universidade Federal de Juiz de Fora,Brazil,1996,Alejandra,
Libertas,https://periodicos.ufjf.br/index.php/libertas,1980-8518,https://doaj.org/toc/62ac0959822142359325a9b835aaf853,1518-9325,Universidade Federal de Juiz de Fora,Brazil,2007,Alejandra,
Pesquisa e Debate em Educação,https://periodicos.ufjf.br/index.php/RPDE,2237-9444,https://doaj.org/toc/dff9342e1b314cc593eeb8e7c695b881,2237-9436,Universidade Federal de Juiz de Fora,Brazil,2011,Alejandra,
E&S Engineering and Science,https://periodicoscientificos.ufmt.br/ojs/index.php/eng,2358-5390,https://doaj.org/toc/6d7144f0a054404787b09fdd394702dc,,Universidade Federal de Mato Grosso (UFMT),Brazil,2014,Alejandra,
Revista Eletrônica Trilhas da História,https://trilhasdahistoria.ufms.br/index.php/RevTH/issue/view/676,2238-1651,https://doaj.org/toc/06b65dbbde77443f916ac4a0321b6f01,,Universidade Federal de Mato Grosso do Sul,Brazil,2011,Alejandra,
GESTO-Debate,https://revistagestodebate.site123.me/,2595-3109,https://doaj.org/toc/4d452c9c2edc47a98f7b1d084ab03c4c,,Universidade Federal de Mato Grosso do Sul,Brazil,2017,Alejandra,
Cadernos NAUI,https://naui.ufsc.br/cadernos-naui/,2358-2448,https://doaj.org/toc/5cddee497f93412781386199b6f086d6,,Universidade Federal de Santa Catarina,Brazil,2012,Alejandra,
Contemporânea,http://www.contemporanea.ufscar.br/index.php/contemporanea/index,2316-1329,https://doaj.org/toc/ba31fdab2b1e40c08afee46dca979b14,2236-532X,Universidade Federal de São Carlos,Brazil,2011,Alejandra,
Olh@res,https://periodicos.unifesp.br/index.php/olhares/index,2317-7853,https://doaj.org/toc/a5b3a99e95c24c3987d722b7dff6afd5,,Universidade Federal de São Paulo,Brazil,2013,Alejandra,
Revista Sergipana de Educação Ambiental,https://seer.ufs.br/index.php/revisea,2359-4993,https://doaj.org/toc/766054fc016d4888bd8a3a032e3b654b,,Universidade Federal de Sergipe,Brazil,2014,Alejandra,
Ensino & Multidisciplinaridade,http://www.periodicoseletronicos.ufma.br/index.php/ens-multidisciplinaridade,2447-5777,https://doaj.org/toc/615ff6c336a045eda0d6a0015bfac321,,Universidade Federal do Maranhão,Brazil,2015,Alejandra,
Terra de Pretos,http://www.periodicoseletronicos.ufma.br/index.php/terradepretos/index,2675-7028,https://doaj.org/toc/dda76c89e4ea4d03abf816532dc631f7,,Universidade Federal do Maranhão,Brazil,2020,Alejandra,
Archives of Veterinary Science,https://revistas.ufpr.br/veterinary/index,2317-6822,https://doaj.org/toc/a1e1ce343c284fc6a8b7a5ca4d621337,1517-784X,Universidade Federal do Paraná,Brazil,1998,Alejandra,
DoisPontos,https://revistas.ufpr.br/doispontos/index,2179-7412,https://doaj.org/toc/cf6abc5cebc94e8cb3e7870475b89ae6,1807-3883,Universidade Federal do Paraná,Brazil,2004,Alejandra,
Revista X,https://revistas.ufpr.br/revistax/index,1980-0614,https://doaj.org/toc/8daca7b8c9bc4e89ba87742b487365d8,,Universidade Federal do Paraná,Brazil,2016,Alejandra,
Revista Geografar,https://revistas.ufpr.br/geografar/index,1981-089X,https://doaj.org/toc/3709d8a0358a465897bbd45ab735184e,,Universidade Federal do Paraná,Brazil,2006,Alejandra,
Extensão em Foco,https://revistas.ufpr.br/extensao/index,2358-7180,https://doaj.org/toc/2025cc234a8446cf8213e2a094ce2690,1982-4432,Universidade Federal do Paraná,Brazil,2008,Alejandra,
História do Direito,https://revistas.ufpr.br/historiadodireito/index,2675-9284,https://doaj.org/toc/15adfa7b91be438796b7b2997214d36f,,Universidade Federal do Paraná,Brazil,2020,Alejandra,
Revista Gearte,https://seer.ufrgs.br/gearte,2596-3198,https://doaj.org/toc/7f2a3d5403c54781bd34307da0f55121,2357-9854,Universidade Federal do Rio Grande do Sul,Brazil,2014,Alejandra,
Drug Analytical Research,https://seer.ufrgs.br/dar/index,2527-2616,https://doaj.org/toc/2a135bc56cd1419298bc2d7007d02afa,,Universidade Federal do Rio Grande do Sul,Brazil,2017,Alejandra,
Vivência,https://periodicos.ufrn.br/vivencia/index,2238-6009,https://doaj.org/toc/3757b5df0a234cadb55bf0a075b9efbf,,"Universidade Federal do Rio Grando do Norte, Programa de Pós-Graduação em Antropologia Social",Brazil,2004,Alejandra,
Revista Geographia,https://periodicos.uff.br/geographia/,2674-8126,https://doaj.org/toc/8c106eb1817741f2b4ad975a44fa936f,1517-7793,Universidade Federal Fluminense (UFF),Brazil,2014,Alejandra,
Horizontes,https://revistahorizontes.usf.edu.br/horizontes/home,2317-109X,https://doaj.org/toc/e08fa3d461de46a98c479190778e937e,0103-7706,Universidade São Francisco,Brazil,2012,Alejandra,
arq.urb,https://www.revistaarqurb.com.br,1984-5766,https://doaj.org/toc/5f7b089a95de4160b6cf22296cc3100c,,Universidade São Judas Tadeu Programa de Pós-Graduação Stricto Sensu em Arquitetura e Urbanismo,Brazil,2012,Alejandra,
Filosofia e História da Biologia,https://www.revistas.usp.br/fhb,2178-6224,https://doaj.org/toc/4aa40f6366814b998728c54ef43914fd,1983-053X,University of São Paulo (USP) / Brazilian Association of Philosophy and History of Biology (ABFHiB),Brazil,2020,Alejandra,
Dimensiones Turísticas,https://dimensionesturisticas.amiturismo.org/,2594-2069,https://doaj.org/toc/1b64f610ce174c1a9e653509039f22fc,,Academia Mexicana de Investigación Turística,Mexico,2017,Alejandra,
Revista ALCONPAT,https://revistaalconpat.org,2007-6835,https://doaj.org/toc/3d7dcf7f6e404f1aa46aab63dbe19f12,,"Asociación Latinoamericana de Control de Calidad, Patología y Recuperación de la Construcción",Mexico,2013,Alejandra,
Mextesol Journal,https://www.mextesol.net,2395-9908,https://doaj.org/toc/7e021be3856943568be6fde118d9ae70,,Asociación Mexicana de Maestros de Inglés,Mexico,2011,Alejandra,
Eirene Estudios de Paz y Conflictos,https://www.estudiosdepazyconflictos.com/index.php/eirene/index,2594-2883,https://doaj.org/toc/347d8cffc48a4d848c8e30859377e155,,"Eirene, Estudios de Paz y Conflictos A. C.",Mexico,2018,Alejandra,
Anuario de Letras Modernas,http://www.revistas.filos.unam.mx/index.php/anuariodeletrasmodernas,,https://doaj.org/toc/535f7a5e74c34b7aacd86969fec12714,0186-0526,"Facultad de Filosofía y Letras, Universidad Nacional Autónoma de México (UNAM)",Mexico,2011,Alejandra,
Nova Tellus,https://revistas-filologicas.unam.mx/nouatellus,2683-1759,https://doaj.org/toc/f37aab92d66b4dc89a0bfec72842eee2,0185-3058,Instituto de Investigaciones Filológicas - Centro de Estudios Clásicos,Mexico,2009,Alejandra,
Revista Colombiana de Cardiología,https://www.rccardiologia.com,2357-3260,https://doaj.org/toc/808c572cb80e407e90c62b93b03b143d,0120-5633,Permanyer,Mexico,2010,Alejandra,
Gaceta Mexicana de Oncología,https://www.gamo-smeo.com/,2565-005X,https://doaj.org/toc/524f0dbdd35940088921f42ef57b8e05,1665-9201,Permanyer,Mexico,2002,Alejandra,
Revista de la Alad. Asociación Latinoamericana de Diabetes,https://www.revistaalad.com,2248-6518,https://doaj.org/toc/8386fb25e8a2450abc638b10bd61b504,,Permanyer,Mexico,2006,Alejandra,
Revista Mexicana de Neurociencia,https://www.revmexneurociencia.com/,2604-6180,https://doaj.org/toc/f94c0ee9dcf44a0dafa9604da48320c8,,Permanyer,Mexico,2018,Alejandra,
Revista Latinoamericana de Herpetología,https://herpetologia.fciencias.unam.mx/index.php/revista,2594-2158,https://doaj.org/toc/3b031e73ca2d4be193debdc22f798388,,Sociedad Herpetológica Mexicana,Mexico,2018,Alejandra,
Fuentes Humanísticas,http://fuenteshumanisticas.azc.uam.mx/,2007-5618,https://doaj.org/toc/1663f2e85012470ab927a0ade598cd65,0188-8900,"UAM, Unidad Azcapotzalco, División de Ciencias Sociales y Humanidades",Mexico,2009,Alejandra,
The Anáhuac Journal,https://revistas.anahuac.mx/the_anahuac_journal,2683-2690,https://doaj.org/toc/604284758cdc4337b33bee44372a79da,1405-8448,Universidad Anáhuac del Sur,Mexico,2010,Alejandra,
Caleidoscopio,https://revistas.uaa.mx/index.php/caleidoscopio,2395-9576,https://doaj.org/toc/c5b92d12daa7461db02f01dc21690f9e,1405-7107,Universidad Autónoma de Aguascalientes,Mexico,2000,Alejandra,
Lux Médica,https://revistas.uaa.mx/index.php/luxmedica,2007-8714,https://doaj.org/toc/cae3f9d24934423f906db990e328c9f3,2007-1655,Universidad Autónoma de Aguascalientes,Mexico,2013,Alejandra,
Chihuahua Hoy,http://erevistas.uacj.mx/ojs/index.php/ChihuahuaHoy,2448-7759,https://doaj.org/toc/6a5a4d3a9da34759bd92ffe5d685056c,2448-8259,Universidad Autónoma de Ciudad Juárez,Mexico,2003,Alejandra,
Revista de Economía,https://www.revista.economia.uady.mx/index.php/reveco/index,2395-8715,https://doaj.org/toc/7e50b1b458bb49ef94e5f053eae5b728,,Universidad Autónoma de Yucatán,Mexico,2009,Alejandra,
Revista de Psicología,https://hemeroteca.uaemex.mx/index.php/rpsicologia,2007-7149,https://doaj.org/toc/5b78907ca23c4176b5c9bdd315fb003a,,Universidad Autónoma del Estado de México,Mexico,2016,Alejandra,
Denarius,https://denarius.izt.uam.mx/index.php/denarius,2448-5403,https://doaj.org/toc/bbbf2b75db9f4da68ef124d1f2d34107,,Universidad Autónoma Metropolitana,Mexico,2008,Alejandra,
Alteridades,https://alteridades.izt.uam.mx,2448-850X,https://doaj.org/toc/6e2cf5c69bd1479cb226cfa00938ce39,0188-7017,Universidad Autónoma Metropolitana Unidad Iztapalapa,Mexico,2010,Alejandra,
Diagnóstico FACIL Empresarial Finanzas Auditoria Contabilidad Impuestos Legal,http://dfe.cucea.udg.mx/index.php/dfe/index,2683-1481,https://doaj.org/toc/e3e6944246be4180988b79e2d5f9deea,2007-2147,Universidad de Guadalajara,Mexico,2014,Alejandra,
Psicumex,https://psicumex.unison.mx/index.php/psicumex,2007-5936,https://doaj.org/toc/f3b61973a3404b1c8b2fb044eda554df,,Universidad de Sonora,Mexico,2011,Alejandra,
Connotas. Revista de Crítica y Teoría Literarias,https://connotas.unison.mx,2448-6019,https://doaj.org/toc/acf934a1530640bea2a0486981cc61af,,Universidad de Sonora,Mexico,2003,Alejandra,
Revista Latinoamericana de Estudios Educativos,https://rlee.ibero.mx/index.php/rlee,2448-878X,https://doaj.org/toc/5a4e824beddc4596985db2655ecd14cf,0185-1284,Universidad Iberoamericana,Mexico,2009,Alejandra,
Sobre México,https://sobremexico-revista.ibero.mx/index.php/Revista_Sobre_Mexico,2448-7325,https://doaj.org/toc/03bbc7e0be784d05bc316c73c38e94c2,,Universidad Iberoamericana,Mexico,2015,Alejandra,
Estudios de Historia Moderna y Contemporánea de México,https://moderna.historicas.unam.mx,2448-5004,https://doaj.org/toc/0460a092992a438ca93e279204a53712,0185-2620,Universidad Nacional Autónoma de México,Mexico,2010,Alejandra,
