code,term,journals,applications
TK1001-1841,Production of electric energy or power. Powerplants. Central stations,40,105
TK3001-3521,Distribution or transmission of electric power,6,15
TK4001-4102,Applications of electric power,15,35
TK452-454.4,Electric apparatus and materials. Electric circuits. Electric networks,16,32
TK5101-6720,Telecommunication,72,144
TK7800-8360,Electronics,81,129
TK7885-7895,Computer engineering. Computer hardware,135,307
TK9001-9401,Nuclear engineering. Atomic power,25,50
TL1-4050,Motor vehicles. Aeronautics. Astronautics,67,122
TN1-997,Mining engineering. Metallurgy,91,145
TP1-1185,Chemical technology,238,244
TP1080-1185,Polymers and polymer manufacture,21,63
TP155-156,Chemical engineering,87,146
TP200-248,"Chemicals: Manufacture, use, etc.",5,16
TP248.13-248.65,Biotechnology,235,477
TP250-261,Industrial electrochemistry,15,40
TP267.5-301,Explosives and pyrotechnics,2,4
TP315-360,Fuel,12,27
TP368-456,Food processing and manufacture,127,277
TP480-498,Low temperature engineering. Cryogenic engineering. Refrigeration,3,7
TP500-660,Fermentation industries. Beverages. Alcohol,4,14
TP670-699,"Oils, fats, and waxes",6,16
TP690-692.5,Petroleum refining. Petroleum products,19,41
TP751-762,Gas industry,8,26
TP785-869,Clay industries. Ceramics. Glass,11,31
TP875-888,Cement industries,1,2
TP890-933,"Textile bleaching, dyeing, printing, etc.",15,45
TP934-945,"Paints, pigments, varnishes, etc.",2,2
TR1-1050,Photography,6,18
TS1-2301,Manufactures,33,36
TS155-194,Production management. Operations management,32,54
TS195-198.8,Packaging,2,2
TT1-999,Handicrafts. Arts and crafts,2,5
TX1-1110,Home economics,49,12
TX341-641,Nutrition. Foods and food supply,185,366
TX642-840,Cookery,2,2
TX901-946.5,"Hospitality industry. Hotels, clubs, restaurants, etc. Food service",37,77
U,Military Science,86,176
V,Naval Science,31,55
VM1-989,Naval architecture. Shipbuilding. Marine engineering,27,71
Z,Bibliography. Library science. Information resources,330,448
Z1001-1121,General bibliography,1,1
Z1001-8999,Bibliography,4,9
ZA3040-5185,Information resources (General),38,86
ag,,0,1
